applid,coreproject,pmid
10355194,R01DA046527,31095676
10126824,R01DA046527,33052402
10512220,R01DA046527,33331919
10355194,R01DA046527,33751315
10326682,R01DA046527,31634203
10355194,R01DA046527,30359112
10355194,R01DA046527,31082666
10355194,R01DA046527,32199545
10355194,R01DA046527,32877557
10512220,R01DA046527,32795883
10355194,R01DA046527,34051547
10355194,R01DA046527,32002538
10355194,R01DA046527,31598642
10400445,R01DA046527,33298298
10355194,R01DA046527,32603791
10355194,R01DA046527,33956936
10355194,R01DA046527,30467088
10512220,R01DA046527,32901815
10355194,R01DA046527,31960025
10355194,R01DA046527,31740175
10355194,R01DA046527,29883035
10355194,R01DA046527,33465604
10201537,R01DA046527,33739476
10355194,R01DA046527,32133577
10370150,R01DA045872,34310445
10208128,R01DA045872,33639570
10208128,R01DA045872,32090386
10208128,R01DA045872,31627159
10208128,R01DA045872,34091394
10264456,R01DA045872,33002963
10208128,R01DA045872,33843462
10370150,R01DA045872,34216209
10474728,R01DA045872,33251171
10220918,R01DA045872,33883971
10208128,R01DA045872,32336560
10249360,R01DA045745,33546937
10450340,R01DA045745,30747957
10398651,R01DA045745,32041898
10249360,R01DA045745,34052687
10398651,R01DA045745,31474225
10249360,R01DA045745,33820716
10249360,R01DA045745,32298179
10252065,R01DA044778,31962289
10086975,R01DA044778,32915020
10430314,R01DA044778,32201680
10226461,R01DA044778,30333942
10407878,R01DA044745,31324682
10159240,R01DA044745,33392509
10407878,R01DA044745,31197625
10250564,R01DA044745,31202612
10430314,R01DA044745,33281198
10159240,R01DA044745,29896471
10414399,R01DA044745,32391524
10159240,R01DA044745,33005901
10163830,R01DA044745,32677987
10159240,R01DA044745,31492186
10215454,R01DA044522,23606774
10215454,R01DA044522,24465089
10215454,R01DA044522,30719616
10215454,R01DA044522,28970063
10215454,R01DA044522,24778545
10215454,R01DA044522,24986217
10215454,R01DA044522,26985122
10215454,R01DA044522,29504048
10215454,R01DA044522,27231420
10215454,R01DA044522,24322060
10215454,R01DA044522,29463119
10215454,R01DA044522,22720764
10215454,R01DA044522,21809149
10215454,R01DA044522,24319545
10215454,R01DA044522,25323784
10215454,R01DA044522,26017632
10215454,R01DA044522,20422289
10215454,R01DA044522,26765664
10215454,R01DA044522,18302016
10421502,R01DA044522,33140475
10215454,R01DA044522,21414831
10215454,R01DA044522,26149305
10215454,R01DA044522,33837890
10215454,R01DA044522,26405365
10215454,R01DA044522,26213527
10215454,R01DA044522,26462492
10215454,R01DA044522,34583272
10215454,R01DA044522,23731424
10215454,R01DA044522,18516681
10215454,R01DA044522,26951879
10215454,R01DA044522,22330215
10215454,R01DA044522,19617929
10215454,R01DA044522,23054169
10215454,R01DA044522,23143070
10215454,R01DA044522,19509119
10215454,R01DA044522,26377418
10215454,R01DA044522,21667142
10215454,R01DA044522,22199409
10215454,R01DA044522,27872502
10215454,R01DA044522,18565433
10215454,R01DA044522,21499537
10215454,R01DA044522,31987724
10215454,R01DA044522,20582326
10215454,R01DA044522,16324889
10215454,R01DA044522,30701394
10215454,R01DA044522,20048248
10215454,R01DA044522,21969362
10215454,R01DA044522,26166843
10215454,R01DA044522,22121303
10215454,R01DA044522,29565666
10215454,R01DA044522,23412948
10215454,R01DA044522,23828448
10215454,R01DA044522,18176839
10215454,R01DA044522,22921136
10215454,R01DA044522,25300758
10215454,R01DA044522,25506186
10215454,R01DA044522,21072250
10215454,R01DA044522,17226092
10215454,R01DA044522,29225383
10215454,R01DA044522,27397946
10215454,R01DA044522,22108900
10215454,R01DA044522,17602298
10215454,R01DA044522,19736331
10215454,R01DA044522,25366931
10215454,R01DA044522,23111547
10440596,R01DA044184,33759726
10440596,R01DA044184,30159911
10440596,R01DA044184,32745836
10440596,R01DA044184,34231309
10440596,R01DA044184,31256767
10440596,R01DA044184,32692425
10180929,R01DA044015,29623639
10180929,R01DA044015,29333880
10180929,R01DA044015,29302220
10450340,R01DA044015,30368523
10180929,R01DA044015,30940352
10180929,R01DA044015,31520622
10223103,R01DA044015,31506603
10180929,R01DA044015,33640484
10180929,R01DA044015,31377175
10223103,R01DA044015,32229609
10180929,R01DA044015,31964452
10180929,R01DA044015,32123930
10180929,R01DA044015,32920245
10180929,R01DA044015,34702274
10180929,R01DA044015,32886123
10180929,R01DA044015,31605399
10180929,R01DA044015,34407719
10223103,R01DA044015,30118972
9900629,R01DA043476,30797042
10171051,R01DA043122,32797292
10199994,R01DA042859,34115134
10146999,R01DA042859,31349994
10146999,R01DA042859,28594744
10170413,R01DA042859,29948809
10146999,R01DA042859,30916733
10146999,R01DA042859,32389404
10266747,R01DA042859,31365366
10146999,R01DA042859,32187028
10146999,R01DA042859,29108841
10146999,R01DA042859,30316852
10266747,R01DA042859,31880801
10233792,R01DA042859,31303324
10146999,R01DA042859,30497812
10146999,R01DA042859,31851641
10146999,R01DA042859,32748343
10266747,R01DA042859,33895223
10146999,R01DA042859,32217114
10233792,R01DA042859,33125747
10146999,R01DA042859,29214318
10146999,R01DA042859,30048311
10146999,R01DA042859,30624569
